county,tract,intptlat,intptlon
11,60504,26.142767,-80.27813
11,60505,26.14241,-80.263359
11,60601,26.128401,-80.245117
11,60603,26.127752,-80.292122
11,60604,26.127991,-80.275551
11,60605,26.128336,-80.260315
11,60700,26.12842,-80.22596
11,60800,26.121611,-80.210144
11,60900,26.114578,-80.23114
11,61001,26.104105,-80.234749
11,61002,26.115944,-80.266243
11,61100,26.098915,-80.209152
11,70101,26.078382,-80.217178
11,70102,26.058933,-80.219917
11,70203,26.08416,-80.258591
11,70204,26.086615,-80.240669
11,70205,26.089163,-80.305122
11,70206,26.082016,-80.2855
11,70207,26.097822,-80.272453
11,70304,26.111403,-80.342323
11,70305,26.102974,-80.322075
11,70306,26.073605,-80.346008
11,70307,26.247944,-80.605316
11,70308,26.12999,-80.404243
11,70309,26.123661,-80.376633
11,70310,26.114656,-80.359207
11,70311,26.110773,-80.380722
11,70312,26.10273,-80.380997
11,70313,26.078913,-80.378647
11,70314,26.048483,-80.410172
11,70315,26.048592,-80.364883
11,70316,26.050894,-80.33371
11,70401,26.054838,-80.305504
11,70402,26.053398,-80.288315
11,70403,26.054403,-80.274963
11,70404,26.055845,-80.265015
11,70405,26.036646,-80.306519
11,70501,26.042294,-80.282562
11,70502,26.03931,-80.250916
11,70600,26.057682,-80.241638
11,80100,26.056435,-80.136841
11,80200,26.073544,-80.151329
11,80300,26.076569,-80.188683
11,80402,26.04999,-80.181618
11,80403,26.05789,-80.200294
11,80404,26.061459,-80.180191
11,80500,26.045406,-80.154327
11,90100,26.049011,-80.112663
11,90200,26.019732,-80.119255
11,90300,26.023108,-80.14222
11,90401,26.022367,-80.163666
11,90402,26.022318,-80.154503
11,90501,26.039726,-80.202141
11,90502,26.041368,-80.183502
11,90600,26.035826,-80.228043
11,90700,26.027914,-80.230919
11,90800,26.029774,-80.190575
11,90900,26.0217,-80.183983
11,91000,26.01432,-80.183258
11,91100,26.017534,-80.206284
11,91201,26.020887,-80.222549
11,91202,26.013578,-80.222267
11,91300,26.017744,-80.236305
11,91400,26.000681,-80.209061
11,91500,25.991669,-80.215942
11,91600,25.999428,-80.182465
11,91700,26.006739,-80.187416
11,91800,26.00382,-80.158272
11,91900,26.004757,-80.142151
11,92000,26.005049,-80.12648
11,100101,25.992157,-80.127899
11,100102,25.982471,-80.118645
11,100103,25.980953,-80.132019
11,100200,25.991276,-80.141487
11,100300,25.980396,-80.149261
11,100400,25.990969,-80.15773
11,100500,25.985781,-80.170303
11,100600,25.981388,-80.179649
11,100700,25.990219,-80.193649
11,100801,25.980671,-80.208504
11,100802,25.979723,-80.199295
11,110100,26.002544,-80.232368
11,110301,26.021803,-80.426201
11,110302,26.020884,-80.400711
11,110303,26.021433,-80.389923
11,110304,26.024069,-80.366554
11,110305,26.01005,-80.351974
11,110306,26.018373,-80.333832
11,110307,26.025324,-80.294701
11,110308,26.027088,-80.265663
11,110309,26.015549,-80.305824
11,110310,26.014679,-80.289711
11,110311,26.016096,-80.27211
11,110312,26.01441,-80.255646
11,110313,26.015865,-80.24337
11,110314,26.001867,-80.324501
11,110315,26.003241,-80.2957
11,110316,25.997744,-80.265442
11,110317,25.98455,-80.398804
11,110318,25.986874,-80.312813
11,110319,25.989067,-80.268127
11,110320,25.987928,-80.251816
11,110321,25.975054,-80.322784
11,110322,25.958807,-80.333435
11,110323,25.976236,-80.262932
11,110402,25.976799,-80.240105
11,110403,25.988272,-80.242836
11,110404,25.988922,-80.233192
11,110500,25.98036,-80.221695
13,990100,30.563328,-85.078278
13,990200,30.381735,-85.275833
13,990300,30.371792,-85.098282
15,10100,26.914162,-81.730194
15,10200,26.978573,-81.979034
15,10300,26.932053,-82.040253
15,10400,26.899637,-82.072037
15,10500,26.816141,-81.994034
15,20100,27.009117,-82.017868
15,20201,27.013811,-82.070374
15,20202,27.018415,-82.098625
15,20301,27.017977,-82.129242
15,20302,26.994734,-82.149338
15,20303,26.988863,-82.13031
15,20400,26.998547,-82.201599
15,20500,26.946339,-82.147705
15,20600,26.979441,-82.105286
15,20700,26.990768,-82.101547
15,20800,26.995312,-82.085876
15,20900,26.983086,-82.072731
15,21000,26.972681,-82.045738
15,30100,26.951006,-82.240768
15,30200,26.930315,-82.281639
15,30300,26.925989,-82.359436
15,30400,26.868004,-82.319031
15,30500,26.832294,-82.190437
17,980100,28.954529,-82.393456
17,980200,28.917522,-82.454094
17,980301,28.936152,-82.532295
17,980302,28.993198,-82.459496
17,980400,28.997515,-82.636505
17,980500,28.871611,-82.710167
17,980600,28.847298,-82.549995
17,980700,28.870901,-82.418983
17,980800,28.922251,-82.343369
17,980900,28.863953,-82.287704
17,981000,28.803495,-82.251045
17,981100,28.76438,-82.337288
17,981200,28.76482,-82.258133
17,981300,28.701044,-82.299812
17,981400,28.773745,-82.409981
17,981500,28.798046,-82.510269
17,981600,28.738245,-82.504295
17,981700,28.760046,-82.688004
19,30101,30.130667,-81.960121
19,30102,30.100431,-81.982193
19,30200,30.135725,-81.851639
19,30301,30.17786,-81.762238
19,30302,30.180885,-81.724449
19,30400,30.169325,-81.739693
19,30500,30.164389,-81.722466
19,30600,30.169622,-81.698311
19,30700,30.096449,-81.717834
19,30801,30.150085,-81.733803
19,30802,30.12365,-81.76149
19,30901,30.146023,-81.779839
19,30902,30.105928,-81.783936
19,31101,30.01598,-81.962959
19,31102,29.898668,-81.98156
19,31103,29.848436,-81.897179
19,31200,30.001867,-81.800468
19,31300,30.023684,-81.729927
19,31400,29.993176,-81.684647
19,31500,29.907242,-81.695267
21,100,26.142027,-81.798332
21,200,26.169941,-81.795685
21,301,26.196758,-81.805946
21,302,26.169043,-81.80394
21,400,26.189657,-81.815659
21,500,26.109268,-81.802612
21,600,26.127544,-81.78553
21,700,26.149107,-81.790237
21,10101,26.31999,-81.840858
21,10102,26.296373,-81.770859
21,10103,26.282423,-81.777649
21,10104,26.262007,-81.807236
21,10202,26.242374,-81.78389
21,10203,26.192062,-81.780174
21,10204,26.253885,-81.823334
21,10205,26.243418,-81.794304
21,10300,26.196716,-81.796196
21,10401,26.165873,-81.772682
21,10405,26.239044,-81.744186
21,10406,26.204306,-81.758087
21,10407,26.242598,-81.711182
21,10408,26.20097,-81.727188
21,10409,26.188915,-81.711929
21,10410,26.19207,-81.693893
21,10411,26.177816,-81.700569
21,10412,26.251181,-81.611404
21,10413,26.18091,-81.605316
21,10414,26.221901,-81.634842
21,10502,26.131277,-81.713692
21,10503,26.157629,-81.724297
21,10504,26.146473,-81.721825
21,10601,26.138924,-81.772743
21,10602,26.146128,-81.755745
21,10603,26.123615,-81.746239
21,10604,26.127872,-81.76046
21,10701,26.121914,-81.769295
21,10702,26.09609,-81.775322
21,10801,26.104971,-81.732002
21,10802,26.089556,-81.707672
21,10803,26.05015,-81.780602
21,10901,25.95698,-81.740929
21,10902,25.948105,-81.687759
21,10903,25.871132,-81.689018
21,11000,25.909115,-81.728226
21,11101,25.986267,-81.659554
21,11102,25.946909,-81.096085
21,11201,26.295475,-81.729805
21,11202,26.272787,-81.338066
21,11204,26.402872,-81.438866
21,11205,26.407883,-81.400215
21,11300,26.45466,-81.524979
21,11400,26.469233,-81.349693
23,990200,30.256527,-82.72924
23,990300,30.384993,-82.566956
23,990400,30.188128,-82.622658
23,990500,30.172009,-82.664932
23,990600,30.130339,-82.725159
23,990700,30.152428,-82.625732
23,990800,30.104027,-82.56617
23,990900,29.954361,-82.665543
27,980100,27.131918,-81.738571
27,980200,27.234058,-81.861214
27,980300,27.185074,-81.865097
27,980401,27.223835,-81.97187
27,980402,27.104118,-81.882263
29,980100,29.718458,-83.10331
29,980200,29.504549,-83.228912
31,100,30.380419,-81.643364
31,200,30.362276,-81.630035
31,300,30.350332,-81.631157
31,400,30.336424,-81.629326
31,500,30.32386,-81.633385
31,600,30.302855,-81.637329
31,700,30.288363,-81.659088
31,800,30.313305,-81.657631
31,1000,30.33165,-81.651718
31,1100,30.339586,-81.652283
31,1200,30.347101,-81.653374
31,1300,30.358582,-81.657654
31,1400,30.37521,-81.665642
31,1500,30.356104,-81.670776
31,1600,30.344761,-81.667877
31,1700,30.337141,-81.666885
31,1800,30.327593,-81.6623
31,1900,30.310921,-81.677635
31,2000,30.309048,-81.686584
31,2100,30.301935,-81.695938
31,2200,30.292978,-81.70591
31,2300,30.282686,-81.712379
31,2400,30.27249,-81.705299
31,2500,30.314445,-81.716309
